,UNODC,unodc_ddds@un.org,REGION,SUB-REGION,INDICATOR,DIMENSION,CATEGORY,SEX,AGE,YEAR,COUNTS,CASE-VALUE,SOURCE
1861,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2018,Counts,30,GLOTIP
1862,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2018,Counts,51,GLOTIP
1864,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2019,Counts,86,GLOTIP
1866,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2019,Counts,302,GLOTIP
1868,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2019,Counts,35,GLOTIP
1869,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,192,GLOTIP
1870,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2019,Counts,22,GLOTIP
1871,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2019,Counts,80,GLOTIP
1873,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,38,GLOTIP
1875,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,247,GLOTIP
1878,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,114,GLOTIP
1880,ITA,Italy,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2020,Counts,16,GLOTIP
1886,JOR,Jordan,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2019,Counts,7,GLOTIP
1894,JOR,Jordan,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,22,GLOTIP
1901,JOR,Jordan,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2021,Counts,15,GLOTIP
1903,JPN,Japan,Asia,Eastern Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2014,Counts,7,GLOTIP
1904,JPN,Japan,Asia,Eastern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2014,Counts,7,GLOTIP
1905,JPN,Japan,Asia,Eastern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,8,GLOTIP
1907,JPN,Japan,Asia,Eastern Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2015,Counts,29,GLOTIP
1909,JPN,Japan,Asia,Eastern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2015,Counts,5,GLOTIP
1910,JPN,Japan,Asia,Eastern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,15,GLOTIP
1912,JPN,Japan,Asia,Eastern Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2016,Counts,10,GLOTIP
1914,JPN,Japan,Asia,Eastern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2016,Counts,10,GLOTIP
1915,JPN,Japan,Asia,Eastern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,27,GLOTIP
1917,JPN,Japan,Asia,Eastern Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2018,Counts,5,GLOTIP
1924,JPN,Japan,Asia,Eastern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,17,GLOTIP
1931,JPN,Japan,Asia,Eastern Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2019,Counts,12,GLOTIP
1937,JPN,Japan,Asia,Eastern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2019,Counts,19,GLOTIP
1938,JPN,Japan,Asia,Eastern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,16,GLOTIP
1945,JPN,Japan,Asia,Eastern Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,8,GLOTIP
1951,JPN,Japan,Asia,Eastern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2020,Counts,18,GLOTIP
1952,JPN,Japan,Asia,Eastern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,7,GLOTIP
1959,JPN,Japan,Asia,Eastern Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2021,Counts,16,GLOTIP
1965,JPN,Japan,Asia,Eastern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2021,Counts,18,GLOTIP
1966,JPN,Japan,Asia,Eastern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2021,Counts,13,GLOTIP
1972,KEN,Kenya,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2016,Counts,56,GLOTIP
1974,KEN,Kenya,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,8,GLOTIP
1975,KEN,Kenya,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,60,GLOTIP
1976,KEN,Kenya,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,207,GLOTIP
1977,KEN,Kenya,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,7,GLOTIP
2008,KWT,Kuwait,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,5,GLOTIP
2010,LBN,Lebanon,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,17,GLOTIP
2014,LBN,Lebanon,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,6,GLOTIP
2026,LBN,Lebanon,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,42,GLOTIP
2030,LBN,Lebanon,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2021,Counts,50,GLOTIP
2048,LKA,Sri Lanka,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2018,Counts,8,GLOTIP
2049,LKA,Sri Lanka,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,55,GLOTIP
2054,LKA,Sri Lanka,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,5,GLOTIP
2055,LKA,Sri Lanka,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2019,Counts,5,GLOTIP
2059,LKA,Sri Lanka,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2020,Counts,5,GLOTIP
2061,LTU,Lithuania,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2014,Counts,5,GLOTIP
2063,LTU,Lithuania,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,7,GLOTIP
2066,LTU,Lithuania,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2015,Counts,10,GLOTIP
2067,LTU,Lithuania,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,11,GLOTIP
2069,LTU,Lithuania,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2016,Counts,9,GLOTIP
2071,LTU,Lithuania,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,10,GLOTIP
2073,LTU,Lithuania,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,11,GLOTIP
2075,LTU,Lithuania,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,24,GLOTIP
2077,LTU,Lithuania,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,6,GLOTIP
2085,LTU,Lithuania,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,31,GLOTIP
2091,LTU,Lithuania,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2019,Counts,6,GLOTIP
2093,LTU,Lithuania,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,15,GLOTIP
2101,LTU,Lithuania,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,9,GLOTIP
2105,LUX,Luxembourg,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,6,GLOTIP
2118,LUX,Luxembourg,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2018,Counts,6,GLOTIP
2134,LUX,Luxembourg,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2019,Counts,5,GLOTIP
2148,LUX,Luxembourg,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,8,GLOTIP
2162,LVA,Latvia,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2014,Counts,8,GLOTIP
2166,LVA,Latvia,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,8,GLOTIP
2170,LVA,Latvia,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,7,GLOTIP
2172,LVA,Latvia,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,6,GLOTIP
2178,LVA,Latvia,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,10,GLOTIP
2180,LVA,Latvia,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,5,GLOTIP
2184,LVA,Latvia,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2019,Counts,23,GLOTIP
2186,LVA,Latvia,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2019,Counts,5,GLOTIP
2188,LVA,Latvia,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,6,GLOTIP
2190,LVA,Latvia,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2019,Counts,6,GLOTIP
2194,LVA,Latvia,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,34,GLOTIP
2196,LVA,Latvia,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,8,GLOTIP
2203,MAR,Morocco,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2017,Counts,7,GLOTIP
2204,MAR,Morocco,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,10,GLOTIP
2205,MAR,Morocco,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2017,Counts,5,GLOTIP
2210,MAR,Morocco,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,9,GLOTIP
2211,MAR,Morocco,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2020,Counts,54,GLOTIP
2212,MAR,Morocco,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,20,GLOTIP
2213,MAR,Morocco,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2020,Counts,8,GLOTIP
2217,MAR,Morocco,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2021,Counts,7,GLOTIP
2219,MAR,Morocco,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2021,Counts,47,GLOTIP
2220,MAR,Morocco,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2021,Counts,58,GLOTIP
2221,MAR,Morocco,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2021,Counts,8,GLOTIP
2224,MDA,Republic of Moldova,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2014,Counts,23,GLOTIP
2226,MDA,Republic of Moldova,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2014,Counts,64,GLOTIP
2227,MDA,Republic of Moldova,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2014,Counts,18,GLOTIP
2228,MDA,Republic of Moldova,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,98,GLOTIP
2229,MDA,Republic of Moldova,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2015,Counts,41,GLOTIP
2230,MDA,Republic of Moldova,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2015,Counts,76,GLOTIP
2231,MDA,Republic of Moldova,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2015,Counts,48,GLOTIP
2232,MDA,Republic of Moldova,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,90,GLOTIP
2234,MDA,Republic of Moldova,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2016,Counts,14,GLOTIP
2236,MDA,Republic of Moldova,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2016,Counts,67,GLOTIP
2237,MDA,Republic of Moldova,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2016,Counts,25,GLOTIP
2238,MDA,Republic of Moldova,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,67,GLOTIP
2241,MDA,Republic of Moldova,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2017,Counts,7,GLOTIP
2243,MDA,Republic of Moldova,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2017,Counts,26,GLOTIP
